sdmc_cxof_chain_z8_m1_c16_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c1_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c1_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c1_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c2_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c2_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c2_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c5_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c5_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c5_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c16_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c16_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m8_c16_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c1_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c1_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c1_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c2_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c2_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c2_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c5_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c5_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c5_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c16_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c16_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m16_c16_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c1_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c1_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c1_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c2_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c2_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c2_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c5_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c5_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c5_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c16_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c16_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m17_c16_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c1_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c1_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c1_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c2_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c2_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c2_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c5_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c5_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c5_out64	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c16_out16	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c16_out32	PASS	Simulation passed
sdmc_cxof_chain_z8_m32_c16_out64	PASS	Simulation passed
